Mouse gene name	Gene name
Aurka	AURKA
Ccnq	CCNQ
Plaa	PLAA
Uchl3	UCHL3
Uchl4	UCHL3
Utp6	UTP6
Cplane2	CPLANE2
Nlrc3	NLRC3
Bub1b	BUB1B
Chst8	CHST8
Zbtb8b	ZBTB8B
Nox4	NOX4
Rarg	RARG
Pax7	PAX7
Cdkl2	CDKL2
Mettl21e	METTL21EP
Gpc5	GPC5
Slc6a8	SLC6A8
Cecr2	CECR2
Lrrc19	LRRC19
Or6s1	OR6S1
Rnase4	RNASE4
Eqtn	EQTN
Arhgap24	ARHGAP24
Mir17	MIR17
Mir18	MIR18A
Mir20a	MIR20A
Mir19b-1	MIR19B1
Taar2	TAAR2
Eddm3b	EDDM3A
Zfpm2	ZFPM2
Ndufaf4	NDUFAF4
Eddm3b	EDDM3B
Adat2	ADAT2
Xpa	XPA
Znrf2	ZNRF2
Rnase6	RNASE6
Trap1	TRAP1
Rnase1	RNASE1
Popdc3	POPDC3
Aifm3	AIFM3
Dmkn	DMKN
Treml2	TREML2
Nsmf	NSMF
Fam133b	FAM133B
Aoc2	AOC2
Snx12	SNX12
Cox7a2l	COX7A2L
Dse	DSE
Ear1	RNASE2
Rnase2a	RNASE2
Ear14	RNASE2
Ear6	RNASE2
Ear2	RNASE2
Rnase2b	RNASE2
Ear10	RNASE2
Slc39a2	SLC39A2
Tcap	TCAP
Foxo4	FOXO4
Il9	IL9
Dnali1	DNALI1
Tppp2	TPPP2
Ankrd40	ANKRD40
Sfxn5	SFXN5
Fam13a	FAM13A
Tpst1	TPST1
Nhlrc2	NHLRC2
Gm614	CXorf65
Rragc	RRAGC
Abi3	ABI3
Pdss2	PDSS2
Sema6d	SEMA6D
Sdc2	SDC2
Gjb1	GJB1
Bhmt2	BHMT2
Rnase13	RNASE13
Emx2	EMX2
Grik3	GRIK3
Asns	ASNS
Tmem242	TMEM242
Arhgef40	ARHGEF40
Rtkn2	RTKN2
Cdx2	CDX2
Mir98	MIR98
Mirlet7f-2	MIRLET7F2
Rlim	RLIM
Wfikkn2	WFIKKN2
Atg5	ATG5
Lyz3	LYZ
Edil3	EDIL3
Ube2z	UBE2Z
Nexmif	NEXMIF
Opalin	OPALIN
Pla2g2d	PLA2G2D
C1qtnf9	C1QTNF9B
Guca2b	GUCA2B
Dusp21	DUSP21
Nav3	NAV3
Dipk2b	DIPK2B
Phax	PHAX
Rcc2	RCC2
Cmss1	CMSS1
Pkhd1l1	PKHD1L1
Coa3	COA3
Nim1k	NIM1K
Prps1	PRPS1
Prps1l3	PRPS1
Gngt2	GNGT2
Riok2	RIOK2
Psmb2	PSMB2
Gsto2	GSTO2
Bmp15	BMP15
Nit2	NIT2
Abcc3	ABCC3
Zfp638	ZNF638
Gm26017	RNU6-576P
Gm23817	RNU6-163P
Irx1	IRX1
Gm23315	
Thrap3	THRAP3
Scai	SCAI
Gm25626	RNU6-908P
Gm25644	RNU6-908P
Gm54737	RN7SKP220
Gm55244	RNU6-885P
Prr16	PRR16
Lmf2	LMF2
Gm23056	RNU6-1207P
Zfp219	ZNF219
Snord2	
Gm55005	RNU6-543P
Gm24163	SNORA71
Gm24258	SNORA71
Gm25853	SNORA71
Gm25402	SNORA71
Gm24411	SNORA71
Gm25592	SNORA71
Gm24031	SNORA71
Cblb	CBLB
Mir346	MIR346
Perp	PERP
Ust	UST
Peg10	PEG10
Gm24256	RNU4-5P
Lect2	LECT2
Rbmxl1	RBMX
Rbmx	RBMX
Gm7324	RBMX
Gm23676	RNU6-839P
Lrrc27	LRRC27
Grhl2	GRHL2
Rint1	RINT1
Srl	SRL
Hebp2	HEBP2
Cdh6	CDH6
Ncaph2	NCAPH2
Dapp1	DAPP1
Or5au1	OR5AU1
Padi6	PADI6
Cstf1	CSTF1
Akap12	AKAP12
Tfap4	TFAP4
Supt16	SUPT16H
Padi4	PADI4
Cntnap3	CNTNAP3B
Pwwp2b	PWWP2B
Rhpn1	RHPN1
Ttk	TTK
Pcdh10	PCDH10
Homer1	HOMER1
Gpr101	GPR101
Tceal1	TCEAL1
Pde1c	PDE1C
Rhbdl2	RHBDL2
Psd	PSD
Glis2	GLIS2
Morf4l2	MORF4L2
Fam183b	CFAP144
Pam16	PAM16
Pam16l	PAM16
Rtf2	RTF2
Lactb2	LACTB2
Zmym4	ZMYM4
Ang4	ANG
Ang	ANG
Ang5	ANG
Ang2	ANG
Ang6	ANG
Trmt61a	TRMT61A
Cuedc2	CUEDC2
Slc35e3	SLC35E3
Slc25a53	SLC25A53
Rnf150	RNF150
Gm25899	RNU4-68P
Tram1	TRAM1
Mir146b	MIR146B
2310034G01Rik	C10orf95
Xrcc3	XRCC3
Mfsd13a	MFSD13A
Prickle3	PRICKLE3
Nnt	NNT
Nnt	NNT
Spic	SPIC
Actr1a	ACTR1A
Fam186a	FAM186A
Cep78	CEP78
Cacna1f	CACNA1F
Ly6d	LY6D
Sco2	SCO2
Zfp330	ZNF330
Ppp4r3b	PPP4R3B
Gm25211	RNU6-15P
Ncoa2	NCOA2
Alx1	ALX1
Tymp	TYMP
Lnp1	LNP1
Plau	PLAU
Coro7	CORO7
Rhod	RHOD
Ccer1	CCER1
Fam209	FAM209A
Krt1	KRT1
Fam209	FAM209B
Rps12	RPS12
Cass4	CASS4
Chst11	CHST11
Cnksr3	CNKSR3
Rab39	RAB39A
Herc3	HERC3
Ndufaf5	NDUFAF5
Med17	MED17
Ankrd1	ANKRD1
5730409E04Rik	C1orf216
Dip2b	DIP2B
Tg	TG
Gm23445	RNU6-740P
Rlf	RLF
Gm23946	SNORA74C-2
Zmynd10	ZMYND10
Washc2	WASHC2A
Tgfb3	TGFB3
Gatb	GATB
Smarce1	SMARCE1
Foxo3	FOXO3
Tecpr1	TECPR1
Znfx1	ZNFX1
Usp34	USP34
Clspn	CLSPN
Usp15	USP15
Akap13	AKAP13
Tnfaip2	TNFAIP2
Cdc40	CDC40
Fezf2	FEZF2
Klhdc7b	KLHDC7B
Syce3	SYCE3
Cpt1b	CPT1B
Snora28	SNORA28
Gm23034	SNORA28
Clmn	CLMN
Auh	AUH
Col8a1	COL8A1
Dynlt1c	DYNLT1
Dynlt1a	DYNLT1
Dynlt1b	DYNLT1
Dynlt1f	DYNLT1
Gda	GDA
Hephl1	HEPHL1
Tmem243	TMEM243
Oprm1	OPRM1
Alcam	ALCAM
Vstm5	VSTM5
Lsm5	LSM5
Gm25878	SNORD12C
Gm23201	SNORD12B
Gm24123	SNORD12B
Snord12	SNORD12
Pard6b	PARD6B
Ccdc22	CCDC22
Tmem179	TMEM179
Mocs3	MOCS3
Naa20	NAA20
Siva1	SIVA1
Crnkl1	CRNKL1
Ppp1r3f	PPP1R3F
Rab38	RAB38
Tph2	TPH2
Jak2	JAK2
Gal	GAL
Rbm46	RBM46
Zfp182	ZNF182
Zbtb42	ZBTB42
Sbspon	SBSPON
Gm25177	RNU4-22P
Ap1s1	AP1S1
Ccdc59	CCDC59
Eif4e3	EIF4E3
Slc35f2	SLC35F2
Top1mt	TOP1MT
Zc3h14	ZC3H14
Etaa1	ETAA1
Nr3c2	NR3C2
Plod3	PLOD3
Slc4a8	SLC4A8
Lbh	LBH
Vasn	VASN
Relt	RELT
Chkb	CHKB
Gm24917	RNU6-707P
Dnaja3	DNAJA3
Dnaaf10	DNAAF10
Satl1	SATL1
Gpr15	GPR15
Hmgcs1	HMGCS1
Susd1	SUSD1
Ubqln2	UBQLN2
Slitrk2	SLITRK2
Tmem158	TMEM158
Cd200	CD200
Prrg1	PRRG1
Gnl2	GNL2
Tmem144	TMEM144
Tmem135	TMEM135
Zfp365	ZNF365
Cd36	CD36
Rin2	RIN2
Prps2	PRPS2
Gja4	GJA4
Map1b	MAP1B
Eva1a	EVA1A
Rnf24	RNF24
Morn1	MORN1
Plpp4	PLPP4
Mapk8ip2	MAPK8IP2
Tafa4	TAFA4
Ppp1r14d	PPP1R14D
Skida1	SKIDA1
Atrx	ATRX
Snx33	SNX33
Tmem39a	TMEM39A
Nps	NPS
Catsper2	CATSPER2
Hmox2	HMOX2
Olah	OLAH
Ttc22	TTC22
Nsfl1c	NSFL1C
Hnrnpll	HNRNPLL
Tmc1	TMC1
Jrk	JRK
Arsa	ARSA
Trpc6	TRPC6
Tie1	TIE1
Hesx1	HESX1
Bag3	BAG3
Esm1	ESM1
Lypd2	LYPD2
Prkg1	PRKG1
Timmdc1	TIMMDC1
Ccl28	CCL28
Lama4	LAMA4
Rspo2	RSPO2
Tmem252	TMEM252
Cand1	CAND1
Ankrd55	ANKRD55
Garnl3	GARNL3
Mycbp	MYCBP
Scand1	SCAND1
Dlgap3	DLGAP3
Kdm2a	KDM2A
Vcl	VCL
Hck	HCK
Tcf12	TCF12
Ip6k1	IP6K1
Rims3	RIMS3
Ccng2	CCNG2
Tmem191	TMEM191C
Dzip3	DZIP3
Aldh1l2	ALDH1L2
Marchf3	MARCHF3
Rab3b	RAB3B
Pno1	PNO1
Smim12	SMIM12
Psd2	PSD2
Rab36	RAB36
Slurp1	SLURP1
Pnpt1	PNPT1
Adcy8	ADCY8
Sufu	SUFU
Basp1	BASP1
Czib	CZIB
Prmt9	PRMT9
Rapgef3	RAPGEF3
Tmem171	TMEM171
H1f0	H1-0
Cldn5	CLDN5
Fam227a	FAM227A
Pggt1b	PGGT1B
Fam151a	FAM151A
Gm25133	SNORA30
Snora30	SNORA30
Fbxw5	FBXW5
Phkg2	PHKG2
Nap1l5	NAP1L5
Lynx1	LYNX1
Rimbp3	RIMBP3C
Rnf180	RNF180
Dppa2	DPPA2
Ppm1f	PPM1F
Ankrd50	ANKRD50
Nrap	NRAP
C8g	C8G
Gm56427	RNU4-92P
Osbpl9	OSBPL9
Ttc8	TTC8
Gzma	GZMA
Rragb	RRAGB
Lcn12	LCN12
Pla1a	PLA1A
Zcchc10	ZCCHC10
Jade1	JADE1
Zhx2	ZHX2
Top3b	TOP3B
Ddx27	DDX27
Pdgfd	PDGFD
Vsig1	VSIG1
Utp18	UTP18
Meikin	MEIKIN
Ptgds	PTGDS
Bhmt	BHMT
Bhmt1b	BHMT
Tspan7	TSPAN7
Cfap119	CFAP119
Gpr27	GPR27
Tex55	TEX55
Cul5	CUL5
Paxx	PAXX
Lrrtm2	LRRTM2
Fem1c	FEM1C
Cdcp1	CDCP1
Pole4	POLE4
Wdr70	WDR70
Clic3	CLIC3
Cpq	CPQ
Egr4	EGR4
Kif2b	KIF2B
Cfp	CFP
Cd80	CD80
Car10	CA10
Zfp629	ZNF629
Fut7	FUT7
Npdc1	NPDC1
Tnmd	TNMD
Orai3	ORAI3
Mtg2	MTG2
Ppp2r1b	PPP2R1B
Derl1	DERL1
Cdc25b	CDC25B
Hsd3b7	HSD3B7
Cldnd1	CLDND1
Inf2	INF2
Gm54495	
Entpd2	ENTPD2
Arhgap36	ARHGAP36
Reg1	REG1A
Reg2	REG1A
Paip1	PAIP1
Lrrn3	LRRN3
Ptpn13	PTPN13
Gemin6	GEMIN6
Sapcd2	SAPCD2
Stx1b	STX1B
Gng11	GNG11
Uap1l1	UAP1L1
Sema3c	SEMA3C
Asb3	ASB3
Tmem210	TMEM210
Anapc2	ANAPC2
Nxf2	NXF2
Nxf7	NXF2
Mtfr1	MTFR1
Cacng5	CACNG5
Stx4a	STX4
Vpreb1a	VPREB1
Vpreb1b	VPREB1
Frk	FRK
Iglv3	IGLV9-49
Gm23970	RNU6-490P
Gm23627	RNU6-490P
Gm26071	RNU6-490P
Mastl	MASTL
Ssna1	SSNA1
Vip	VIP
Bmx	BMX
Tprn	TPRN
Nup107	NUP107
Ccdc157	CCDC157
Tmem203	TMEM203
Rnf224	RNF224
Slc34a3	SLC34A3
Prkca	PRKCA
Dll1	DLL1
Tmem168	TMEM168
Tmprss5	TMPRSS5
Gm55974	
Gm56076	
Odf3b	CIMAP1B
Klhl32	KLHL32
Chrna7	CHRNA7
Shisa8	SHISA8
Tubb4b	TUBB4B
Snx24	SNX24
Josd1	JOSD1
Tes	TES
Tesl1	TES
Epas1	EPAS1
Fam166a	CIMIP2A
Gm54983	
Ap1s2	AP1S2
Csmd3	CSMD3
Nelfb	NELFB
Sult4a1	SULT4A1
Tor4a	TOR4A
Slit1	SLIT1
Nrarp	NRARP
Tom1l1	TOM1L1
Tek	TEK
Bckdhb	BCKDHB
Rab11fip5	RAB11FIP5
Tmc2	TMC2
Zfp668	ZNF668
Pnpla8	PNPLA8
Pnpla5	PNPLA5
Slco4c1	SLCO4C1
Sox12	SOX12
Apex2	APEX2
Dnaaf9	DNAAF9
Myh9	MYH9
Impg1	IMPG1
Zfp646	ZNF646
St8sia4	ST8SIA4
Add2	ADD2
Alas2	ALAS2
Vkorc1	VKORC1
Tmed7	TMED7
Minar2	MINAR2
Soat2	SOAT2
Snx2	SNX2
Bckdk	BCKDK
Neurl2	NEURL2
Esf1	ESF1
Wtip	WTIP
Mtrf1l	MTRF1L
Elmod1	ELMOD1
Gm5485	C3orf85
Lgals9	LGALS16
Zfp462	ZNF462
Cfap44	CFAP44
Dpm1	DPM1
Rspo3	RSPO3
Pon2	PON2
Sh3bgrl2	SH3BGRL2
Tmem143	TMEM143
Arfgef3	ARFGEF3
Rasd2	RASD2
Dusp6	DUSP6
Net1	NET1
Dscaml1	DSCAML1
Mb	MB
Kcng1	KCNG1
Flna	FLNA
Mettl25	METTL25
Wfdc13	WFDC13
Actl7b	ACTL7B
Acox2	ACOX2
Actl7a	ACTL7A
Spint4	SPINT4
Ncoa5	NCOA5
Gch1	GCH1
Elp1	ELP1
Stk32a	STK32A
Apol6	APOL6
Samhd1	SAMHD1
Elk3	ELK3
Calm4	CALML5
Calm5	CALML5
Fuca2	FUCA2
Apol8	APOL2
Apol11a	APOL2
Apol9b	APOL2
Apol10b	APOL2
Apol7a	APOL2
Apol7b	APOL2
Apol7c	APOL2
Apol10a	APOL2
Apol9a	APOL2
Apol7e	APOL2
Apol11b	APOL2
Calml3	CALML3
Uri1	URI1
Ly6k	LY6K
Asb13	ASB13
Slc17a5	SLC17A5
Ano4	ANO4
Them6	THEM6
Igsf11	IGSF11
Kat8	KAT8
Wasf1	WASF1
Baalc	BAALC
Gdi2	GDI2
2610528J11Rik	C1orf210
Pars2	PARS2
Gm26159	RNU6-597P
Gm24099	RNU6-1162P
Psca	PSCA
Zyg11b	ZYG11B
Tob1	TOB1
Sntb1	SNTB1
Lhfpl7	LHFPL7
2900026A02Rik	KIAA1671
Ctnna1	CTNNA1
Hsf5	HSF5
Zfp428	ZNF428
Dlk1	DLK1
Sgce	SGCE
Kcmf1	KCMF1
Rgs9	RGS9
Atp6v1h	ATP6V1H
Cmtm7	CMTM7
L1td1	L1TD1
Rhpn2	RHPN2
Prss8	PRSS8
Crybb3	CRYBB3
Bcl11a	BCL11A
Txndc12	TXNDC12
Glra3	GLRA3
Crybb2	CRYBB2
Emc7	EMC7
Prss36	PRSS36
Spice1	SPICE1
Fgd6	FGD6
Cep55	CEP55
Ffar4	FFAR4
Atf4	ATF4
Egln2	EGLN2
Arhgef17	ARHGEF17
Csf2rb2	CSF2RB
Csf2rb	CSF2RB
Katnbl1	KATNBL1
Pde6c	PDE6C
Fbxo8	FBXO8
Fbxo5	FBXO5
Ttc4	TTC4
Ppil4	PPIL4
Klf17	KLF17
Tgfbr2	TGFBR2
Fra10ac1	FRA10AC1
Plpp3	PLPP3
Ermardl2	ERMARD
Ermardl1	ERMARD
Ermard	ERMARD
Cadm4	CADM4
Snip1	SNIP1
Grk3	GRK3
Pycard	PYCARD
Tmsb10b	TMSB10
Lgi1	LGI1
Morc1	MORC1
Uvrag	UVRAG
Noto	NOTO
Cpt2	CPT2
Zp2	ZP2
Emc4	EMC4
Sipa1l3	SIPA1L3
Dmc1	DMC1
Gmeb2	GMEB2
Mrpl19	MRPL19
Foxj3	FOXJ3
Mybpc1	MYBPC1
Cacng4	CACNG4
Nsmce2	NSMCE2
Sh3rf1	SH3RF1
Snf8	SNF8
Abhd2	ABHD2
Stmn3	STMN3
Zfp507	ZNF507
Paip2b	PAIP2B
Anks4b	ANKS4B
Dclk2	DCLK2
Arfrp1	ARFRP1
Fabp1	FABP1
Ccr4	CCR4
Nagpa	NAGPA
Smco4	SMCO4
Ift57	IFT57
St13	ST13
P4ha3	P4HA3
Penk	PENK
Cdnf	CDNF
Ncaph	NCAPH
Gm23056	RNU6-1210P
Plaur	PLAUR
Zc2hc1b	ZC2HC1B
Hspa14	HSPA14
1110038F14Rik	C8orf33
Rlbp1	RLBP1
Sdk2	SDK2
Ginm1	GINM1
Tut4	TUT4
Samd5	SAMD5
Mir9-3	MIR9-3
Snx4	SNX4
Psmb1	PSMB1
Txndc2	TXNDC2
Eef2kmt	EEF2KMT
Slc12a6	SLC12A6
Cnnm2	CNNM2
Vapa	VAPA
Slc2a12	SLC2A12
Snx18	SNX18
Clns1a	CLNS1A
Sobp	SOBP
Tspan5	TSPAN5
Zgpat	ZGPAT
Thg1l	THG1L
Selenoo	SELENOO
Rpe	RPEL1
Wdr27	WDR27
Ina	INA
B4galt4	B4GALT4
Pcgf6	PCGF6
Cacng1	CACNG1
Piezo2	PIEZO2
Ntaq1	NTAQ1
Dpy19l3	DPY19L3
Scube1	SCUBE1
Pelo	PELO
Jakmip2	JAKMIP2
Atp5mk	ATP5MK
Ppm1k	PPM1K
Kctd2	KCTD2
Cltrn	CLTRN
Gm22606	RNU6-328P
Rpl10-ps3	RPL10
Gm25151	
AF357399	
Mt4	MT4
Scarf2	SCARF2
Stx3	STX3
Helz	HELZ
Pkdcc	PKDCC
Slc35g1	SLC35G1
Fnip2	FNIP2
Abitram	ABITRAM
Zfp352	KLF18
Zdhhc14	ZDHHC14
Nlrp4e	NLRP4
Nlrp4c	NLRP4
Nlrp4f	NLRP4
Nlrp4a	NLRP4
Nlrp4b	NLRP4
Magoh	MAGOH
Ctnnal1	CTNNAL1
Mt1	MT1F
Gm55207	
Gm55096	
Mir770	MIR770
Cpxm1	CPXM1
Mir337	MIR337
Mir665	MIR665
Smc1a	SMC1A
Mir431	MIR431
Mir433	MIR433
Mir127	MIR127
Noc3l	NOC3L
Npy1r	NPY1R
Reg3g	REG1B
Reg3b	REG1B
Reg3a	REG1B
Reg3d	REG1B
Cdkn2c	CDKN2C
Mir32	MIR32
Sfrp1	SFRP1
Qrfp	QRFP
Fibcd1	FIBCD1
Irgc1	IRGC
Crym	CRYM
Slc9a6	SLC9A6
Jhy	JHY
Smg9	SMG9
Tmem239	TMEM239
Tma16	TMA16
Trim55	TRIM55
Pced1a	PCED1A
Gm12695	C1orf87
Tpra1	TPRA1
Tcf7l1	TCF7L1
Prdm12	PRDM12
Tbc1d12	TBC1D12
Pde7b	PDE7B
Ier5l	IER5L
Fdx1	FDX1
Zswim5	ZSWIM5
Igsf6	IGSF6
Spata31	SPATA31A1
Hk2	HK2
Trim29	TRIM29
Lhfpl2	LHFPL2
Oma1	OMA1
Tulp4	TULP4
Pdlim5	PDLIM5
Gm26446	RNU6-1005P
Vps16	VPS16
Uqcrc2	UQCRC2
Gm24787	SNORA70
Stk10	STK10
Cyp2a5	CYP2A6
Cyp2a12	CYP2A6
Cyp2a22	CYP2A6
Cyp2a4	CYP2A6
Slc46a2	SLC46A2
Crh	CRH
Ccdc178	CCDC178
Cox11	COX11
Trib1	TRIB1
Mzf1	MZF1
Slc35d1	SLC35D1
Mbl2	MBL2
Mir370	MIR370
Gm24564	SNORD113-3
Gm55109	SNORD113-4
AF357425	SNORD113-6
Gm55993	SNORD113-6
Gm55110	SNORD113-9
Gm55111	
DQ267100	
Gm55112	
DQ267101	
Gm23508	
Gm25357	
Gm26922	
DQ267102	
Slc31a2	SLC31A2
Gm22205	SNORD114-9
Gm23787	SNORD114-14
Gm25854	
Gm25224	SNORD114-20
Has2	HAS2
Gm22205	SNORD114-25
Gm22205	SNORD114-28
Cbx1	CBX1
Fam25a	FAM25C
Mir299a	MIR299
Rc3h2	RC3H2
Mir323	MIR323A
Pcbd2	PCBD2
Phf10	PHF10
Mir494	MIR494
Mir381	MIR381
Mir382	MIR382
Mir134	MIR134
Mir668	MIR668
Mir154	MIR154
Mir496a	MIR496
Mir377	MIR377
Mir541	MIR541
Gm54371	MIR409
Mir409	MIR409
Mir412	MIR412
Lipf	LIPF
Mir410	MIR410
Bloc1s3	BLOC1S3
Ccdc85a	CCDC85A
Lrp8	LRP8
Mtmr12	MTMR12
Zfp78	ZNF749
Cox7a1	COX7A1
Skap1	SKAP1
Galnt14	GALNT14
Manbal	MANBAL
Btla	BTLA
Tcf15	TCF15
Lipm	LIPM
Nrl	NRL
Gm54634	
Sbk1	SBK1
Atg3	ATG3
Aig1	AIG1
Arhgef12	ARHGEF12
Top2a	TOP2A
Snord90	SNORD90
Lipn	LIPN
Zbtb6	ZBTB6
C5ar2	C5AR2
Pck2	PCK2
Zbtb26	ZBTB26
Gm24870	RNU6-598P
Spata25	SPATA25
Dbndd2	DBNDD2
Map3k8	MAP3K8
Rabgap1	RABGAP1
Stk26	STK26
Gpi1	GPI
Dpysl3	DPYSL3
Gm56109	
Gm26104	RNU6-336P
Gm56440	RNU6-397P
Katna1	KATNA1
Snord13	SNORD13
Il27	IL27
Gm23056	RNU6-596P
Gm24614	RNU6-13P
Gm55200	RN7SKP29
Mir124a-2	MIR124-2
Gm22597	RNU6-656P
Smndc1	SMNDC1
Sgf29	SGF29
Gm26439	RNU6-1040P
Hspbap1	HSPBAP1
Gm24379	Y_RNA
Ttc28	TTC28
Gm24614	RNU6-12P
Gm23939	
Gm56130	
Gm22358	
Gm55577	
Gm23404	
Gm25188	
Gm23406	
Gm55365	RNU6-875P
Upk1b	UPK1B
Gm25899	RNU4-83P
Gm25279	U4
Gm56327	RNU4-37P
Dusp5	DUSP5
Npbwr1	NPBWR1
Plpp5	PLPP5
Tufm	TUFM
Katnal2	KATNAL2
Gm29797	C20orf204
Tube1	TUBE1
Mtpap	MTPAP
Gstt4	GSTT4
Lsm11	LSM11
Strbp	STRBP
Trib3	TRIB3
Bpifc	BPIFC
Efcab9	EFCAB9
Aff4	AFF4
Srms	SRMS
Kctd17	KCTD17
Gna13	GNA13
Dusp15	DUSP15
Cnot11	CNOT11
Dcaf11	DCAF11
Gm22055	RNU6-571P
Rabep2	RABEP2
Srgn	SRGN
Ltv1	LTV1
Aspscr1	ASPSCR1
Gm54487	Metazoa_SRP
Gm22642	Metazoa_SRP
Gm25072	Metazoa_SRP
Gm24576	Metazoa_SRP
Gm25735	Metazoa_SRP
Gm24809	Metazoa_SRP
Gm55356	Metazoa_SRP
Anxa8	ANXA8
Trat1	TRAT1
Fndc1	FNDC1
Rap2c	RAP2C
Mc5r	MC5R
Tacr1	TACR1
Nsd3	NSD3
Plp1	PLP1
Adm2	ADM2
Prr23a2	PRR23E
Prr23a1	PRR23E
Prr23a4	PRR23E
Prr23a3	PRR23E
Ppm1b	PPM1B
Miox	MIOX
Sema3f	SEMA3F
Zhx3	ZHX3
Lcor	LCOR
Poli	POLI
Cd19	CD19
Afg1l	AFG1L
Tbrg1	TBRG1
Kifbp	KIFBP
Yipf5	YIPF5
Gm23002	RNU6-820P
Lrat	LRAT
Dlgap4	DLGAP4
Fxn	FXN
Cep44	CEP44
Dynlt2a2	DYNLT2
Dynlt2a1	DYNLT2
Dynlt2a3	DYNLT2
Sbf1	SBF1
Ube2cbp	UBE3D
Nono	NONO
Ckm	CKM
Tjp2	TJP2
Mrps9	MRPS9
Rpp30	RPP30
Prdm6	PRDM6
4930503L19Rik	C18orf54
Spns1	SPNS1
Cib4	CIB4
Ccdc112	CCDC112
Uba2	UBA2
Cbx8	CBX8
Lzts3	LZTS3
Ing2	ING2
Pdcd2	PDCD2
Ypel5	YPEL5
Fstl5	FSTL5
Tmem74b	TMEM74B
Igf2bp1	IGF2BP1
Ptpra	PTPRA
Bfsp2	BFSP2
Sorl1	SORL1
Stard6	STARD6
Spire1	SPIRE1
Mras	MRAS
Slco6d1	SLCO6A1
Slco6c1	SLCO6A1
Nebl	NEBL
Gm26264	RNVU1-32
Gm56327	RNU4-25P
Mbtd1	MBTD1
Arhgap10	ARHGAP10
Ccn4	CCN4
Psme1	PSME1
Slc9a2	SLC9A2
Foxk2	FOXK2
Dock1	DOCK1
Fam3d	FAM3D
Bag2	BAG2
Fchsd1	FCHSD1
Rpl31	RPL31
Olig3	OLIG3
Cyp2a5	CYP2A13
Cyp2a12	CYP2A13
Cyp2a22	CYP2A13
Cyp2a4	CYP2A13
Rab23	RAB23
Rnf7	RNF7
Rnf7l	RNF7
Rad21l	RAD21L1
Bsph1	BSPH1
Zfp780b	ZNF420
Zfp790	ZNF420
Lats1	LATS1
Abca5	ABCA5
Osbpl11	OSBPL11
Tti2	TTI2
Ppic	PPIC
Pdia5	PDIA5
Zfp831	ZNF831
Tmem131	TMEM131
Tceanc2	TCEANC2
Cyp2f2	CYP2F1
Pde7a	PDE7A
Cbfa2t2	CBFA2T2
Ttc33	TTC33
Enpp6	ENPP6
Rgs17	RGS17
Kti12	KTI12
Emc9	EMC9
Btnl9	BTNL9
Dact2	DACT2
Cfap43	CFAP43
Spn	SPN
Rwdd4a	RWDD4
Kank4	KANK4
Cabp5	CABP5
Slc35f1	SLC35F1
Il20rb	IL20RB
Taok2	TAOK2
Zfp28	ZFP28
Gm25697	
Gm24147	
Gm24493	
Gm26494	
Gm25480	
Gm24870	RNU6-793P
Gm54446	RNU1-64P
Psme2b	PSME2
Psme2	PSME2
Gm54816	RNU6-645P
Ppargc1b	PPARGC1B
Gm26330	
Gm22950	RNU6-263P
Rnf149	RNF149
Gm55819	RN7SKP240
Gm24304	RNU6-930P
Gm25162	SNORA73
Mir133a-1	MIR133A1
Tmem184c	TMEM184C
Mir1a-2	MIR1-2
Gm24152	RNU1-54P
Slc35a5	SLC35A5
Gm26099	RNU6-754P
Gm26055	RNU6-1038P
Mib1	MIB1
Gm25968	RNU6-1023P
Gm24765	RNU6-84P
Gm55974	
Gm56076	
Usp1	USP1
Gm26326	
Egfl7	EGFL7
Gm25284	RNU4-66P
Hspa12a	HSPA12A
Krtdap	KRTDAP
Gm24129	RNU6-1106P
Gm26373	RNU6-344P
Gm24162	RNU6-214P
Stxbp4	STXBP4
Gm24296	RNU6-897P
Gm54563	RN7SKP163
Gm22766	RNU6-1226P
Gm55097	RN7SKP56
Gm22443	RNU6-253P
Gm22335	RNU6-200P
Gm25899	RNU4-76P
Gm23680	RNU1-18P
Gm23130	SNORD101
Il15	IL15
Snord100	SNORD100
Ildr1	ILDR1
Siae	SIAE
Gm24453	SNORD28B
Spag1	SPAG1
Mtcl1	MTCL1
Gja10	GJA10
Casp8ap2	CASP8AP2
Gcfc2	GCFC2
Zfy1	ZNF586
Zfy2	ZNF586
Hirip3	HIRIP3
Gm23506	RNU6-883P
Tmem200c	TMEM200C
Myoz1	MYOZ1
Actl10	ACTL10
Grp	GRP
Plcg1	PLCG1
Esyt3	ESYT3
Ak5	AK5
Synpo2l	SYNPO2L
Crtam	CRTAM
Fbxo30	FBXO30
Marchf10	MARCHF10
Mir126a	MIR126
Dipk1b	DIPK1B
Rax	RAX
Stmn2	STMN2
Tbpl1	TBPL1
Gm23377	SNORA17B
Snora43	SNORA17B
Gm23377	SNORA17B
Snora43	SNORA17B
Gm25053	SNORA17A
Gm23604	SNORA17A
Gm23128	SNORA17A
Gm25617	SNORA17A
Gm22149	SNORA17A
Gm26379	SNORA17A
Gm57326	SNORA17A
Gm22266	SNORA17A
Gm24556	
Gm26013	
Gm25417	
Gm23139	
Gm24838	
Gm22322	
Gm24548	
Gm26422	
Gm23036	
Gm24286	
Gm25422	
Gm23498	
Gm25345	
Gm24554	
Gm23010	
Gm22546	
Gm24982	
Gm22521	
Gm26352	
Gm24337	
Gm22499	
Gm23043	
